ENSEMBL	ESC	ESC	HB	HB
ENSG00000055211	456	496	598	615
ENSG00000055332	2473	1643	1408	1472
ENSG00000055483	1612	1172	798	812
ENSG00000055609	2409	1413	1501	1441
ENSG00000055732	162	37	231	212
ENSG00000055813	9	9	19	14
ENSG00000055917	3227	3070	1674	1693
ENSG00000055950	526	864	953	823
ENSG00000055955	29	8	1503	1582
ENSG00000055957	1	0	2709	2573
ENSG00000056050	620	641	259	240
ENSG00000056097	3381	2620	2502	2259
ENSG00000056277	563	238	103	103
ENSG00000056291	7	11	5	6
ENSG00000056487	865	1586	37	33
ENSG00000056558	143	46	137	107
ENSG00000056586	1623	1300	2092	2008
ENSG00000056736	314	124	1284	1227
ENSG00000056972	429	548	308	266
ENSG00000056998	1965	1527	2093	1926
ENSG00000057019	2394	1368	738	788
ENSG00000057149	1	0	0	0
ENSG00000057252	196	62	1313	1165
ENSG00000057294	625	962	3720	3842
ENSG00000057468	2	1	16	12
ENSG00000057593	39	12	704	633
ENSG00000057608	9953	11646	6448	6050
